SignatureTest.html                                                                                             Passed.
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#addProvider_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getDefaultInstance_Test                              Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getFolder_Test                                       Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getInstance_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getPasswdAuthen_Test                                 Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getProperties_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getProperty_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getProvider_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getProviders_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getStore_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#getTransport_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#loadFromConf_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#loadFromLib_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#reqPasswdAuthen_Test                                 Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#setPasswdAuthen_Test                                 Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#setProtocolForAddress_Test                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Session/testlist.html#setProvider_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#autoclose_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#close_Test                                             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#connect_Test                                           Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#getDefaultFolder_Test                                  Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#getFolder_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Store/testlist.html#getURLName_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#autoclose_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#close_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#connect_Test                                       Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#getURLName_Test                                    Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#isConnected_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#sendMessage_Test                                   Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/Transport/testlist.html#send_Test                                          Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/UIDFolder/testlist.html#getUIDNext_Test                                    Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/UIDFolder/testlist.html#getUID_Test                                        Failed. EXCEPTION
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#equals_Test                                          Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getFile_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getHost_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getPassword_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getPort_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getProtocol_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#getUsername_Test                                     Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#toString_Test                                        Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/URLName/testlist.html#urlName_Test                                         Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/event/ConnectionEvent/testlist.html#addConnectionListener_Test             Passed. OKAY
api/javasoft/sqe/tests/jakarta/mail/event/FolderEvent/testlist.html#addFolderListener_Test                     Failed.
